X: 1208.31, Y: 2606.88
X: 1206.08, Y: 2634.18
X: 1215.81, Y: 2630.41
X: 1230.94, Y: 2629.71
X: 1229.26, Y: 2629.31
X: 1227.08, Y: 2627.67
X: 1227.56, Y: 2626.36
X: 1225.82, Y: 2628.60
X: 1218.42, Y: 2622.24
X: 1218.72, Y: 2634.42
X: 1217.71, Y: 2636.82
X: 1217.41, Y: 2636.21
X: 1221.72, Y: 2636.85
X: 1222.51, Y: 2634.59
X: 1223.43, Y: 2622.68
X: 1227.52, Y: 2622.22
X: 1236.07, Y: 2624.15
X: 1242.86, Y: 2630.16
X: 1249.74, Y: 2632.95
X: 1224.94, Y: 2640.53
X: 1213.24, Y: 2643.40
X: 1216.47, Y: 2648.64
X: 1215.17, Y: 2649.05
X: 1217.38, Y: 2647.04
X: 1213.17, Y: 2639.90
X: 1195.53, Y: 2643.61
X: 1193.49, Y: 2652.76
X: 1182.86, Y: 2653.45
X: 1181.83, Y: 2639.94
X: 1182.01, Y: 2636.11
X: 1179.72, Y: 2635.30
X: 1179.06, Y: 2630.32
X: 1175.72, Y: 2630.55
X: 1174.36, Y: 2626.36
X: 1188.08, Y: 2654.21
X: 1189.62, Y: 2657.84
X: 1192.84, Y: 2673.54
X: 1188.63, Y: 2675.04
X: 1186.82, Y: 2680.27
X: 1187.05, Y: 2680.75
X: 1183.13, Y: 2681.07
X: 1185.77, Y: 2674.69
X: 1190.38, Y: 2678.78
X: 1187.50, Y: 2683.94
X: 1181.10, Y: 2683.70
X: 1189.48, Y: 2690.37
X: 1204.46, Y: 2680.51
X: 1207.58, Y: 2688.19
X: 1205.86, Y: 2689.13
X: 1207.86, Y: 2688.23
X: 1220.68, Y: 2694.83
X: 1218.51, Y: 2694.24
X: 1214.07, Y: 2695.37
X: 1220.57, Y: 2690.69
X: 1219.69, Y: 2687.36
X: 1221.48, Y: 2688.91
X: 1220.23, Y: 2689.65
X: 1220.91, Y: 2686.28
X: 1221.51, Y: 2685.72
X: 1225.03, Y: 2683.04
X: 1231.59, Y: 2682.38
X: 1140.81, Y: 2686.89
X: 1125.25, Y: 2676.44
X: 1113.88, Y: 2672.75
X: 1105.96, Y: 2671.96
X: 1104.89, Y: 2672.37
X: 1103.92, Y: 2673.32
X: 1115.07, Y: 2669.65
X: 1126.57, Y: 2666.97
X: 1134.92, Y: 2660.25
X: 1135.99, Y: 2662.26
X: 1137.89, Y: 2662.64
X: 1137.19, Y: 2665.47
X: 1139.51, Y: 2670.53
X: 1138.49, Y: 2675.40
X: 1196.02, Y: 2668.70
X: 1204.26, Y: 2671.78
X: 1205.13, Y: 2670.16
X: 1211.70, Y: 2660.50
X: 1195.65, Y: 2652.71
X: 1194.95, Y: 2656.76
X: 1192.76, Y: 2662.34
X: 1180.94, Y: 2670.12
X: 1186.56, Y: 2658.38
X: 1186.23, Y: 2654.67
X: 1185.02, Y: 2656.75
X: 1199.92, Y: 2649.22
X: 1203.79, Y: 2648.78
X: 1205.30, Y: 2647.15
X: 1207.81, Y: 2648.54
X: 1211.73, Y: 2646.13
X: 1225.41, Y: 2670.35
X: 1233.10, Y: 2674.21
X: 1234.47, Y: 2671.96
X: 1232.88, Y: 2674.27
X: 1228.36, Y: 2665.23
X: 1230.85, Y: 2663.26
X: 1225.93, Y: 2667.05
X: 1228.36, Y: 2666.81
X: 1230.19, Y: 2669.06
X: 1230.04, Y: 2671.63
X: 1229.21, Y: 2674.67
X: 1226.61, Y: 2675.93
X: 1229.86, Y: 2666.82
X: 1223.68, Y: 2674.93
X: 1225.56, Y: 2675.47
X: 1232.93, Y: 2663.48
X: 1227.71, Y: 2667.16
X: 1213.32, Y: 2659.94
X: 1207.20, Y: 2661.42
X: 1210.16, Y: 2660.95
X: 1211.08, Y: 2663.74
