X: 1217.02, Y: 2735.31
X: 1243.64, Y: 2703.83
X: 1244.15, Y: 2703.59
X: 1244.16, Y: 2703.59
X: 1244.16, Y: 2703.59
X: 1244.17, Y: 2703.59
X: 1244.17, Y: 2703.59
X: 1244.17, Y: 2703.59
X: 1244.17, Y: 2703.59
X: 1244.17, Y: 2703.59
X: 1244.17, Y: 2703.59
X: 1244.17, Y: 2703.60
X: 1212.90, Y: 2675.84
X: 1209.95, Y: 2674.08
X: 1209.59, Y: 2673.94
X: 1209.53, Y: 2673.92
X: 1209.54, Y: 2673.93
X: 1209.55, Y: 2673.94
X: 1209.57, Y: 2673.95
X: 1209.59, Y: 2673.96
X: 1209.60, Y: 2673.97
X: 1209.61, Y: 2673.97
X: 1209.61, Y: 2673.97
X: 1209.62, Y: 2673.98
X: 1209.62, Y: 2673.98
X: 1209.62, Y: 2673.98
X: 1209.62, Y: 2673.98
X: 1172.75, Y: 2660.08
X: 1171.15, Y: 2659.83
X: 1171.22, Y: 2659.85
X: 1171.32, Y: 2659.87
X: 1171.39, Y: 2659.89
X: 1171.43, Y: 2659.89
X: 1171.46, Y: 2659.90
X: 1171.48, Y: 2659.90
X: 1171.49, Y: 2659.90
X: 1171.50, Y: 2659.91
X: 1171.50, Y: 2659.91
X: 1171.50, Y: 2659.91
X: 1171.51, Y: 2659.91
X: 1171.51, Y: 2659.91
X: 1171.51, Y: 2659.91
X: 1171.51, Y: 2659.91
X: 1247.67, Y: 2649.19
X: 1249.26, Y: 2650.30
X: 1249.16, Y: 2650.25
X: 1249.03, Y: 2650.18
X: 1248.95, Y: 2650.14
X: 1248.90, Y: 2650.11
X: 1248.86, Y: 2650.09
X: 1248.84, Y: 2650.08
X: 1248.83, Y: 2650.07
X: 1248.82, Y: 2650.07
X: 1248.81, Y: 2650.07
X: 1248.81, Y: 2650.06
X: 1248.81, Y: 2650.06
X: 1248.81, Y: 2650.06
X: 1248.81, Y: 2650.06
X: 1201.74, Y: 2616.65
X: 1200.53, Y: 2616.20
X: 1200.61, Y: 2616.24
X: 1185.29, Y: 2599.35
X: 1155.82, Y: 2618.78
X: 1154.97, Y: 2619.18
X: 1082.03, Y: 2612.90
X: 1077.37, Y: 2614.05
X: 1077.56, Y: 2614.06
X: 1077.96, Y: 2613.96
X: 1078.23, Y: 2613.89
X: 1078.42, Y: 2613.83
X: 1078.54, Y: 2613.80
X: 1078.61, Y: 2613.78
X: 1078.66, Y: 2613.77
X: 1078.69, Y: 2613.76
X: 1078.71, Y: 2613.75
X: 1078.73, Y: 2613.75
X: 1078.74, Y: 2613.75
X: 1078.74, Y: 2613.74
X: 1078.74, Y: 2613.74
X: 1078.75, Y: 2613.74
X: 1221.53, Y: 2661.33
X: 1225.49, Y: 2663.09
X: 1225.19, Y: 2663.06
X: 1224.89, Y: 2663.01
X: 1224.70, Y: 2662.97
X: 1224.58, Y: 2662.94
X: 1224.50, Y: 2662.92
X: 1224.45, Y: 2662.91
X: 1224.41, Y: 2662.90
X: 1224.39, Y: 2662.90
X: 1224.38, Y: 2662.89
X: 1224.37, Y: 2662.89
X: 1224.36, Y: 2662.89
X: 1224.36, Y: 2662.89
X: 1224.36, Y: 2662.89
X: 1122.60, Y: 2577.22
X: 1119.02, Y: 2575.98
X: 1119.22, Y: 2576.14
X: 1119.47, Y: 2576.25
X: 1119.63, Y: 2576.32
X: 1119.74, Y: 2576.37
X: 1119.81, Y: 2576.39
X: 1119.85, Y: 2576.41
X: 1119.88, Y: 2576.42
X: 1119.90, Y: 2576.43
X: 1119.91, Y: 2576.44
X: 1119.92, Y: 2576.44
X: 1119.93, Y: 2576.44
X: 1119.93, Y: 2576.44
X: 1119.93, Y: 2576.44
X: 1119.93, Y: 2576.45
X: 1205.61, Y: 2627.41
X: 1209.58, Y: 2629.06
X: 1209.41, Y: 2628.99
X: 1209.15, Y: 2628.92
X: 1208.98, Y: 2628.86
X: 1208.86, Y: 2628.83
X: 1208.79, Y: 2628.80
X: 1208.74, Y: 2628.79
X: 1208.71, Y: 2628.78
X: 1208.69, Y: 2628.77
X: 1208.68, Y: 2628.77
X: 1208.67, Y: 2628.76
X: 1208.67, Y: 2628.76
X: 1208.66, Y: 2628.76
X: 1208.66, Y: 2628.76
X: 1060.69, Y: 2609.42
X: 1055.15, Y: 2612.12
X: 1055.07, Y: 2612.05
X: 1050.00, Y: 2610.26
X: 1049.82, Y: 2610.30
X: 1049.81, Y: 2610.30
X: 1049.81, Y: 2610.30
X: 1049.82, Y: 2610.30
X: 1049.82, Y: 2610.30
X: 1049.82, Y: 2610.30
X: 1049.82, Y: 2610.30
X: 1049.82, Y: 2610.30
X: 1049.83, Y: 2610.30
X: 1049.83, Y: 2610.30
X: 1049.83, Y: 2610.30
X: 1049.83, Y: 2610.31
X: 1161.57, Y: 2648.83
X: 1164.33, Y: 2649.76
X: 1164.40, Y: 2649.77
X: 1164.41, Y: 2649.78
X: 1164.41, Y: 2649.78
X: 1164.41, Y: 2649.78
X: 1164.41, Y: 2649.78
X: 1164.41, Y: 2649.78
X: 1164.41, Y: 2649.78
X: 1164.41, Y: 2649.78
X: 1164.41, Y: 2649.78
X: 1164.41, Y: 2649.78
X: 1164.41, Y: 2649.78
X: 1164.42, Y: 2649.78
X: 1164.42, Y: 2649.78
X: 1223.04, Y: 2670.58
X: 1225.18, Y: 2671.27
X: 1225.27, Y: 2671.30
X: 1225.27, Y: 2671.30
X: 1225.27, Y: 2671.30
X: 1225.27, Y: 2671.30
X: 1225.27, Y: 2671.30
X: 1225.27, Y: 2671.30
X: 1225.27, Y: 2671.30
X: 1225.28, Y: 2671.30
X: 1225.28, Y: 2671.30
X: 1225.28, Y: 2671.30
X: 1225.28, Y: 2671.30
X: 1225.28, Y: 2671.30
X: 1225.28, Y: 2671.30
